time,car_id,position,velocity,lane,distance,crashes
1,2,104.000000,1.000000,1,4.000000,0
1,3,154.000000,1.000000,1,4.000000,0
1,4,204.000000,1.000000,1,4.000000,0
1,5,254.000000,1.000000,1,4.000000,0
2,2,108.000000,1.000000,1,8.000000,0
2,3,158.000000,1.000000,1,8.000000,0
2,4,208.000000,1.000000,1,8.000000,0
2,5,258.000000,1.000000,1,8.000000,0
3,2,112.000000,1.000000,1,12.000000,0
3,3,162.000000,1.000000,1,12.000000,0
3,4,212.000000,1.000000,1,12.000000,0
3,5,262.000000,1.000000,1,12.000000,0
4,2,116.000000,1.000000,1,16.000000,0
4,3,166.000000,1.000000,1,16.000000,0
4,4,216.000000,1.000000,1,16.000000,0
4,5,266.000000,1.000000,1,16.000000,0
5,2,120.000000,1.000000,1,20.000000,0
5,3,170.000000,1.000000,1,20.000000,0
5,4,220.000000,1.000000,1,20.000000,0
5,5,270.000000,1.000000,1,20.000000,0
6,2,124.000000,1.000000,1,24.000000,0
6,3,174.000000,1.000000,1,24.000000,0
6,4,224.000000,1.000000,1,24.000000,0
6,5,274.000000,1.000000,1,24.000000,0
7,2,128.000000,1.000000,1,28.000000,0
7,3,178.000000,1.000000,1,28.000000,0
7,4,228.000000,1.000000,1,28.000000,0
7,5,278.000000,1.000000,1,28.000000,0
8,2,132.000000,1.000000,1,32.000000,0
8,3,182.000000,1.000000,1,32.000000,0
8,4,232.000000,1.000000,1,32.000000,0
8,5,282.000000,1.000000,1,32.000000,0
9,2,136.000000,1.000000,1,36.000000,0
9,3,186.000000,1.000000,1,36.000000,0
9,4,236.000000,1.000000,1,36.000000,0
9,5,286.000000,1.000000,1,36.000000,0
10,2,140.000000,1.000000,1,40.000000,0
10,3,190.000000,1.000000,1,40.000000,0
10,4,240.000000,1.000000,1,40.000000,0
10,5,290.000000,1.000000,1,40.000000,0
11,2,144.000000,1.000000,1,44.000000,0
11,3,194.000000,1.000000,1,44.000000,0
11,4,244.000000,1.000000,1,44.000000,0
11,5,294.000000,1.000000,1,44.000000,0
12,2,148.000000,1.000000,1,48.000000,0
12,3,198.000000,1.000000,1,48.000000,0
12,4,248.000000,1.000000,1,48.000000,0
12,5,298.000000,1.000000,1,48.000000,0
13,2,152.000000,1.000000,1,52.000000,0
13,3,202.000000,1.000000,1,52.000000,0
13,4,252.000000,1.000000,1,52.000000,0
13,5,302.000000,1.000000,1,52.000000,0
14,2,156.000000,1.000000,1,56.000000,0
14,3,206.000000,1.000000,1,56.000000,0
14,4,256.000000,1.000000,1,56.000000,0
14,5,306.000000,1.000000,1,56.000000,0
15,2,160.000000,1.000000,1,60.000000,0
15,3,210.000000,1.000000,1,60.000000,0
15,4,260.000000,1.000000,1,60.000000,0
15,5,310.000000,1.000000,1,60.000000,0
16,2,164.000000,1.000000,1,64.000000,0
16,3,214.000000,1.000000,1,64.000000,0
16,4,264.000000,1.000000,1,64.000000,0
16,5,314.000000,1.000000,1,64.000000,0
17,2,168.000000,1.000000,1,68.000000,0
17,3,218.000000,1.000000,1,68.000000,0
17,4,268.000000,1.000000,1,68.000000,0
17,5,318.000000,1.000000,1,68.000000,0
18,2,172.000000,1.000000,1,72.000000,0
18,3,222.000000,1.000000,1,72.000000,0
18,4,272.000000,1.000000,1,72.000000,0
18,5,322.000000,1.000000,1,72.000000,0
19,2,176.000000,1.000000,1,76.000000,0
19,3,226.000000,1.000000,1,76.000000,0
19,4,276.000000,1.000000,1,76.000000,0
19,5,326.000000,1.000000,1,76.000000,0
20,2,180.000000,1.000000,1,80.000000,0
20,3,230.000000,1.000000,1,80.000000,0
20,4,280.000000,1.000000,1,80.000000,0
20,5,330.000000,1.000000,1,80.000000,0
21,2,184.000000,1.000000,1,84.000000,0
21,3,234.000000,1.000000,1,84.000000,0
21,4,284.000000,1.000000,1,84.000000,0
21,5,334.000000,1.000000,1,84.000000,0
22,2,188.000000,1.000000,1,88.000000,0
22,3,238.000000,1.000000,1,88.000000,0
22,4,288.000000,1.000000,1,88.000000,0
22,5,338.000000,1.000000,1,88.000000,0
23,2,192.000000,1.000000,1,92.000000,0
23,3,242.000000,1.000000,1,92.000000,0
23,4,292.000000,1.000000,1,92.000000,0
23,5,342.000000,1.000000,1,92.000000,0
24,2,196.000000,1.000000,1,96.000000,0
24,3,246.000000,1.000000,1,96.000000,0
24,4,296.000000,1.000000,1,96.000000,0
24,5,346.000000,1.000000,1,96.000000,0
25,2,200.000000,1.000000,1,100.000000,0
25,3,250.000000,1.000000,1,100.000000,0
25,4,300.000000,1.000000,1,100.000000,0
25,5,350.000000,1.000000,1,100.000000,0
26,2,204.000000,1.000000,1,104.000000,0
26,3,254.000000,1.000000,1,104.000000,0
26,4,304.000000,1.000000,1,104.000000,0
26,5,354.000000,1.000000,1,104.000000,0
27,2,208.000000,1.000000,1,108.000000,0
27,3,258.000000,1.000000,1,108.000000,0
27,4,308.000000,1.000000,1,108.000000,0
27,5,358.000000,1.000000,1,108.000000,0
28,2,212.000000,1.000000,1,112.000000,0
28,3,262.000000,1.000000,1,112.000000,0
28,4,312.000000,1.000000,1,112.000000,0
28,5,362.000000,1.000000,1,112.000000,0
29,2,216.000000,1.000000,1,116.000000,0
29,3,266.000000,1.000000,1,116.000000,0
29,4,316.000000,1.000000,1,116.000000,0
29,5,366.000000,1.000000,1,116.000000,0
30,2,220.000000,1.000000,1,120.000000,0
30,3,270.000000,1.000000,1,120.000000,0
30,4,320.000000,1.000000,1,120.000000,0
30,5,370.000000,1.000000,1,120.000000,0
31,2,224.000000,1.000000,1,124.000000,0
31,3,274.000000,1.000000,1,124.000000,0
31,4,324.000000,1.000000,1,124.000000,0
31,5,374.000000,1.000000,1,124.000000,0
32,2,228.000000,1.000000,1,128.000000,0
32,3,278.000000,1.000000,1,128.000000,0
32,4,328.000000,1.000000,1,128.000000,0
32,5,378.000000,1.000000,1,128.000000,0
33,2,232.000000,1.000000,1,132.000000,0
33,3,282.000000,1.000000,1,132.000000,0
33,4,332.000000,1.000000,1,132.000000,0
33,5,382.000000,1.000000,1,132.000000,0
34,2,236.000000,1.000000,1,136.000000,0
34,3,286.000000,1.000000,1,136.000000,0
34,4,336.000000,1.000000,1,136.000000,0
34,5,386.000000,1.000000,1,136.000000,0
35,2,240.000000,1.000000,1,140.000000,0
35,3,290.000000,1.000000,1,140.000000,0
35,4,340.000000,1.000000,1,140.000000,0
35,5,390.000000,1.000000,1,140.000000,0
36,2,244.000000,1.000000,1,144.000000,0
36,3,294.000000,1.000000,1,144.000000,0
36,4,344.000000,1.000000,1,144.000000,0
36,5,394.000000,1.000000,1,144.000000,0
37,2,248.000000,1.000000,1,148.000000,0
37,3,298.000000,1.000000,1,148.000000,0
37,4,348.000000,1.000000,1,148.000000,0
37,5,398.000000,1.000000,1,148.000000,0
38,2,252.000000,1.000000,1,152.000000,0
38,3,302.000000,1.000000,1,152.000000,0
38,4,352.000000,1.000000,1,152.000000,0
38,5,402.000000,1.000000,1,152.000000,0
39,2,256.000000,1.000000,1,156.000000,0
39,3,306.000000,1.000000,1,156.000000,0
39,4,356.000000,1.000000,1,156.000000,0
39,5,406.000000,1.000000,1,156.000000,0
40,2,260.000000,1.000000,1,160.000000,0
40,3,310.000000,1.000000,1,160.000000,0
40,4,360.000000,1.000000,1,160.000000,0
40,5,410.000000,1.000000,1,160.000000,0
41,2,264.000000,1.000000,1,164.000000,0
41,3,314.000000,1.000000,1,164.000000,0
41,4,364.000000,1.000000,1,164.000000,0
41,5,414.000000,1.000000,1,164.000000,0
42,2,268.000000,1.000000,1,168.000000,0
42,3,318.000000,1.000000,1,168.000000,0
42,4,368.000000,1.000000,1,168.000000,0
42,5,418.000000,1.000000,1,168.000000,0
43,2,272.000000,1.000000,1,172.000000,0
43,3,322.000000,1.000000,1,172.000000,0
43,4,372.000000,1.000000,1,172.000000,0
43,5,422.000000,1.000000,1,172.000000,0
44,2,276.000000,1.000000,1,176.000000,0
44,3,326.000000,1.000000,1,176.000000,0
44,4,376.000000,1.000000,1,176.000000,0
44,5,426.000000,1.000000,1,176.000000,0
45,2,280.000000,1.000000,1,180.000000,0
45,3,330.000000,1.000000,1,180.000000,0
45,4,380.000000,1.000000,1,180.000000,0
45,5,430.000000,1.000000,1,180.000000,0
46,2,284.000000,1.000000,1,184.000000,0
46,3,334.000000,1.000000,1,184.000000,0
46,4,384.000000,1.000000,1,184.000000,0
46,5,434.000000,1.000000,1,184.000000,0
47,2,288.000000,1.000000,1,188.000000,0
47,3,338.000000,1.000000,1,188.000000,0
47,4,388.000000,1.000000,1,188.000000,0
47,5,438.000000,1.000000,1,188.000000,0
48,2,292.000000,1.000000,1,192.000000,0
48,3,342.000000,1.000000,1,192.000000,0
48,4,392.000000,1.000000,1,192.000000,0
48,5,442.000000,1.000000,1,192.000000,0
49,2,296.000000,1.000000,1,196.000000,0
49,3,346.000000,1.000000,1,196.000000,0
49,4,396.000000,1.000000,1,196.000000,0
49,5,446.000000,1.000000,1,196.000000,0
50,2,300.000000,1.000000,1,200.000000,0
50,3,350.000000,1.000000,1,200.000000,0
50,4,400.000000,1.000000,1,200.000000,0
50,5,450.000000,1.000000,1,200.000000,0
51,2,304.000000,1.000000,1,204.000000,0
51,3,354.000000,1.000000,1,204.000000,0
51,4,404.000000,1.000000,1,204.000000,0
51,5,454.000000,1.000000,1,204.000000,0
52,2,308.000000,1.000000,1,208.000000,0
52,3,358.000000,1.000000,1,208.000000,0
52,4,408.000000,1.000000,1,208.000000,0
52,5,458.000000,1.000000,1,208.000000,0
53,2,312.000000,1.000000,1,212.000000,0
53,3,362.000000,1.000000,1,212.000000,0
53,4,412.000000,1.000000,1,212.000000,0
53,5,462.000000,1.000000,1,212.000000,0
54,2,316.000000,1.000000,1,216.000000,0
