time,car_id,position,velocity,lane,distance,crashes
372,4,136.000000,3.500000,2,2936.000000,0
372,0,538.000000,4.000000,1,2538.000000,0
372,1,904.000000,3.000000,3,2854.000000,0
372,2,766.000000,3.500000,3,3666.000000,0
373,4,150.000000,3.500000,2,2950.000000,0
373,0,554.000000,4.000000,1,2554.000000,0
373,1,916.000000,3.000000,3,2866.000000,0
373,2,780.000000,3.500000,3,3680.000000,0
374,4,164.000000,3.500000,2,2964.000000,0
374,0,570.000000,4.000000,1,2570.000000,0
374,1,930.000000,3.500000,3,2880.000000,0
374,2,794.000000,3.500000,3,3694.000000,0
375,4,178.000000,3.500000,2,2978.000000,0
375,0,586.000000,4.000000,1,2586.000000,0
375,1,944.000000,3.500000,3,2894.000000,0
375,2,808.000000,3.500000,3,3708.000000,0
376,4,192.000000,3.500000,2,2992.000000,0
376,0,602.000000,4.000000,1,2602.000000,0
376,1,958.000000,3.500000,3,2908.000000,0
376,2,822.000000,3.500000,3,3722.000000,0
377,4,206.000000,3.500000,2,3006.000000,0
377,0,618.000000,4.000000,1,2618.000000,0
377,1,972.000000,3.500000,3,2922.000000,0
377,2,836.000000,3.500000,3,3736.000000,0
378,4,220.000000,3.500000,2,3020.000000,0
378,0,634.000000,4.000000,1,2634.000000,0
378,1,986.000000,3.500000,3,2936.000000,0
378,2,850.000000,3.500000,3,3750.000000,0
379,4,234.000000,3.500000,2,3034.000000,0
379,0,650.000000,4.000000,1,2650.000000,0
379,1,0.000000,3.500000,3,2950.000000,0
379,2,864.000000,3.500000,3,3764.000000,0
380,4,248.000000,3.500000,2,3048.000000,0
380,0,666.000000,4.000000,1,2666.000000,0
380,1,14.000000,3.500000,3,2964.000000,0
380,2,878.000000,3.500000,3,3778.000000,0
381,4,262.000000,3.500000,2,3062.000000,0
381,0,682.000000,4.000000,1,2682.000000,0
381,1,28.000000,3.500000,3,2978.000000,0
381,2,892.000000,3.500000,3,3792.000000,0
382,4,276.000000,3.500000,2,3076.000000,0
382,0,698.000000,4.000000,1,2698.000000,0
382,1,42.000000,3.500000,3,2992.000000,0
382,2,906.000000,3.500000,3,3806.000000,0
383,4,290.000000,3.500000,2,3090.000000,0
383,0,714.000000,4.000000,1,2714.000000,0
383,1,56.000000,3.500000,3,3006.000000,0
383,2,920.000000,3.500000,3,3820.000000,0
384,4,304.000000,3.500000,2,3104.000000,0
384,0,730.000000,4.000000,1,2730.000000,0
