time,car_id,position,velocity,lane,distance,crashes
48, 1, 146.000000, 1.000000, 1, 96.000000, 0
49, 0, 98.000000, 1.000000, 1, 98.000000, 0
49, 1, 148.000000, 1.000000, 1, 98.000000, 0
50, 0, 100.000000, 1.000000, 1, 100.000000, 0
50, 1, 150.000000, 1.000000, 1, 100.000000, 0
51, 0, 102.000000, 1.000000, 1, 102.000000, 0
51, 1, 152.000000, 1.000000, 1, 102.000000, 0
52, 0, 104.000000, 1.000000, 1, 104.000000, 0
52, 1, 154.000000, 1.000000, 1, 104.000000, 0
53, 0, 106.000000, 1.000000, 1, 106.000000, 0
53, 1, 156.000000, 1.000000, 1, 106.000000, 0
54, 0, 108.000000, 1.000000, 1, 108.000000, 0
54, 1, 158.000000, 1.000000, 1, 108.000000, 0
55, 0, 110.000000, 1.000000, 1, 110.000000, 0
55, 1, 160.000000, 1.000000, 1, 110.000000, 0
56, 0, 112.000000, 1.000000, 1, 112.000000, 0
56, 1, 162.000000, 1.000000, 1, 112.000000, 0
57, 0, 114.000000, 1.000000, 1, 114.000000, 0
57, 1, 164.000000, 1.000000, 1, 114.000000, 0
58, 0, 116.000000, 1.000000, 1, 116.000000, 0
58, 1, 166.000000, 1.000000, 1, 116.000000, 0
59, 0, 118.000000, 1.000000, 1, 118.000000, 0
59, 1, 168.000000, 1.000000, 1, 118.000000, 0
60, 0, 120.000000, 1.000000, 1, 120.000000, 0
60, 1, 170.000000, 1.000000, 1, 120.000000, 0
61, 0, 122.000000, 1.000000, 1, 122.000000, 0
61, 1, 172.000000, 1.000000, 1, 122.000000, 0
62, 0, 124.000000, 1.000000, 1, 124.000000, 0
62, 1, 174.000000, 1.000000, 1, 124.000000, 0
63, 0, 126.000000, 1.000000, 1, 126.000000, 0
63, 1, 176.000000, 1.000000, 1, 126.000000, 0
64, 0, 128.000000, 1.000000, 1, 128.000000, 0
64, 1, 178.000000, 1.000000, 1, 128.000000, 0
65, 0, 130.000000, 1.000000, 1, 130.000000, 0
65, 1, 180.000000, 1.000000, 1, 130.000000, 0
66, 0, 132.000000, 1.000000, 1, 132.000000, 0
66, 1, 182.000000, 1.000000, 1, 132.000000, 0
67, 0, 134.000000, 1.000000, 1, 134.000000, 0
67, 1, 184.000000, 1.000000, 1, 134.000000, 0
68, 0, 136.000000, 1.000000, 1, 136.000000, 0
68, 1, 186.000000, 1.000000, 1, 136.000000, 0
69, 0, 138.000000, 1.000000, 1, 138.000000, 0
69, 1, 188.000000, 1.000000, 1, 138.000000, 0
70, 0, 140.000000, 1.000000, 1, 140.000000, 0
70, 1, 190.000000, 1.000000, 1, 140.000000, 0
71, 0, 142.000000, 1.000000, 1, 142.000000, 0
71, 1, 192.000000, 1.000000, 1, 142.000000, 0
72, 0, 144.000000, 1.000000, 1, 144.000000, 0
72, 1, 194.000000, 1.000000, 1, 144.000000, 0
73, 0, 146.000000, 1.000000, 1, 146.000000, 0
73, 1, 196.000000, 1.000000, 1, 146.000000, 0
74, 0, 148.000000, 1.000000, 1, 148.000000, 0
74, 1, 198.000000, 1.000000, 1, 148.000000, 0
75, 0, 150.000000, 1.000000, 1, 150.000000, 0
75, 1, 200.000000, 1.000000, 1, 150.000000, 0
