time,car_id,position,velocity,lane,distance,crashes
94,4,608.000000,1.500000,2,408.000000,0
94,0,376.000000,1.000000,3,376.000000,0
94,1,488.000000,1.500000,3,438.000000,0
94,2,750.000000,2.000000,3,650.000000,0
95,4,614.000000,1.500000,2,414.000000,0
95,0,380.000000,1.000000,3,380.000000,0
95,1,494.000000,1.500000,3,444.000000,0
95,2,758.000000,2.000000,3,658.000000,0
96,4,620.000000,1.500000,2,420.000000,0
96,0,384.000000,1.000000,3,384.000000,0
96,1,500.000000,1.500000,3,450.000000,0
96,2,766.000000,2.000000,3,666.000000,0
97,4,626.000000,1.500000,2,426.000000,0
97,0,388.000000,1.000000,3,388.000000,0
97,1,506.000000,1.500000,3,456.000000,0
97,2,774.000000,2.000000,3,674.000000,0
98,4,632.000000,1.500000,2,432.000000,0
98,0,392.000000,1.000000,3,392.000000,0
98,1,512.000000,1.500000,3,462.000000,0
98,2,782.000000,2.000000,3,682.000000,0
99,4,638.000000,1.500000,2,438.000000,0
99,0,396.000000,1.000000,3,396.000000,0
99,1,518.000000,1.500000,3,468.000000,0
99,2,790.000000,2.000000,3,690.000000,0
100,4,644.000000,1.500000,2,444.000000,0
100,0,400.000000,1.000000,3,400.000000,0
100,1,524.000000,1.500000,3,474.000000,0
100,2,798.000000,2.000000,3,698.000000,0
101,4,650.000000,1.500000,2,450.000000,0
101,0,404.000000,1.000000,3,404.000000,0
101,1,530.000000,1.500000,3,480.000000,0
101,2,806.000000,2.000000,3,706.000000,0
102,4,656.000000,1.500000,2,456.000000,0
102,0,408.000000,1.000000,3,408.000000,0
102,1,536.000000,1.500000,3,486.000000,0
102,2,814.000000,2.000000,3,714.000000,0
103,4,662.000000,1.500000,2,462.000000,0
103,0,412.000000,1.000000,3,412.000000,0
103,1,542.000000,1.500000,3,492.000000,0
103,2,822.000000,2.000000,3,722.000000,0
104,4,668.000000,1.500000,2,468.000000,0
104,0,416.000000,1.000000,3,416.000000,0
104,1,548.000000,1.500000,3,498.000000,0
104,2,830.000000,2.000000,3,730.000000,0
105,4,674.000000,1.500000,2,474.000000,0
105,0,420.000000,1.000000,3,420.000000,0
105,1,554.000000,1.500000,3,504.000000,0
105,2,838.000000,2.000000,3,738.000000,0
106,4,680.000000,1.500000,2,480.000000,0
106,0,424.000000,1.000000,3,424.000000,0
106,1,560.000000,1.500000,3,510.000000,0
106,2,846.000000,2.000000,3,746.000000,0
107,4,686.000000,1.500000,2,486.000000,0
107,0,428.000000,1.000000,3,428.000000,0
107,1,566.000000,1.500000,3,516.000000,0
107,2,854.000000,2.000000,3,754.000000,0
108,4,692.000000,1.500000,2,492.000000,0
108,0,432.000000,1.000000,3,432.000000,0
108,1,572.000000,1.500000,3,522.000000,0
108,2,862.000000,2.000000,3,762.000000,0
109,4,698.000000,1.500000,2,498.000000,0
109,0,436.000000,1.000000,3,436.000000,0
109,1,578.000000,1.500000,3,528.000000,0
109,2,870.000000,2.000000,3,770.000000,0
110,4,704.000000,1.500000,2,504.000000,0
110,0,440.000000,1.000000,3,440.000000,0
110,1,584.000000,1.500000,3,534.000000,0
110,2,878.000000,2.000000,3,778.000000,0
111,4,710.000000,1.500000,2,510.000000,0
111,0,444.000000,1.000000,3,444.000000,0
111,1,590.000000,1.500000,3,540.000000,0
111,2,886.000000,2.000000,3,786.000000,0
112,4,716.000000,1.500000,2,516.000000,0
112,0,448.000000,1.000000,3,448.000000,0
112,1,596.000000,1.500000,3,546.000000,0
112,2,894.000000,2.000000,3,794.000000,0
113,4,722.000000,1.500000,2,522.000000,0
113,0,452.000000,1.000000,3,452.000000,0
113,1,602.000000,1.500000,3,552.000000,0
113,2,902.000000,2.000000,3,802.000000,0
114,4,728.000000,1.500000,2,528.000000,0
114,0,456.000000,1.000000,3,456.000000,0
114,1,608.000000,1.500000,3,558.000000,0
114,2,910.000000,2.000000,3,810.000000,0
115,4,734.000000,1.500000,2,534.000000,0
115,0,460.000000,1.000000,3,460.000000,0
115,1,614.000000,1.500000,3,564.000000,0
115,2,918.000000,2.000000,3,818.000000,0
116,4,740.000000,1.500000,2,540.000000,0
116,0,464.000000,1.000000,3,464.000000,0
116,1,620.000000,1.500000,3,570.000000,0
116,2,926.000000,2.000000,3,826.000000,0
117,4,746.000000,1.500000,2,546.000000,0
117,0,468.000000,1.000000,3,468.000000,0
117,1,626.000000,1.500000,3,576.000000,0
117,2,934.000000,2.000000,3,834.000000,0
118,4,752.000000,1.500000,2,552.000000,0
118,0,472.000000,1.000000,3,472.000000,0
118,1,632.000000,1.500000,3,582.000000,0
118,2,942.000000,2.000000,3,842.000000,0
119,4,758.000000,1.500000,2,558.000000,0
119,0,476.000000,1.000000,3,476.000000,0
119,1,638.000000,1.500000,3,588.000000,0
119,2,950.000000,2.000000,3,850.000000,0
120,4,764.000000,1.500000,2,564.000000,0
120,0,480.000000,1.000000,3,480.000000,0
120,1,644.000000,1.500000,3,594.000000,0
120,2,958.000000,2.000000,3,858.000000,0
121,4,770.000000,1.500000,2,570.000000,0
121,0,484.000000,1.000000,3,484.000000,0
121,1,650.000000,1.500000,3,600.000000,0
121,2,966.000000,2.000000,3,866.000000,0
122,4,776.000000,1.500000,2,576.000000,0
122,0,488.000000,1.000000,3,488.000000,0
122,1,656.000000,1.500000,3,606.000000,0
122,2,974.000000,2.000000,3,874.000000,0
123,4,782.000000,1.500000,2,582.000000,0
123,0,492.000000,1.000000,3,492.000000,0
123,1,662.000000,1.500000,3,612.000000,0
123,2,982.000000,2.000000,3,882.000000,0
124,4,788.000000,1.500000,2,588.000000,0
124,0,496.000000,1.000000,3,496.000000,0
124,1,668.000000,1.500000,3,618.000000,0
124,2,990.000000,2.000000,3,890.000000,0
125,4,794.000000,1.500000,2,594.000000,0
125,0,500.000000,1.000000,3,500.000000,0
125,1,674.000000,1.500000,3,624.000000,0
125,2,998.000000,2.000000,3,898.000000,0
126,4,800.000000,1.500000,2,600.000000,0
126,0,504.000000,1.000000,3,504.000000,0
126,1,680.000000,1.500000,3,630.000000,0
126,2,6.000000,2.000000,3,906.000000,0
127,4,806.000000,1.500000,2,606.000000,0
127,0,508.000000,1.000000,3,508.000000,0
127,1,686.000000,1.500000,3,636.000000,0
127,2,14.000000,2.000000,3,914.000000,0
128,4,812.000000,1.500000,2,612.000000,0
128,0,512.000000,1.000000,3,512.000000,0
128,1,692.000000,1.500000,3,642.000000,0
128,2,22.000000,2.000000,3,922.000000,0
129,4,818.000000,1.500000,2,618.000000,0
129,0,516.000000,1.000000,3,516.000000,0
129,1,698.000000,1.500000,3,648.000000,0
129,2,30.000000,2.000000,3,930.000000,0
130,4,824.000000,1.500000,2,624.000000,0
130,0,520.000000,1.000000,3,520.000000,0
130,1,704.000000,1.500000,3,654.000000,0
130,2,38.000000,2.000000,3,938.000000,0
131,4,830.000000,1.500000,2,630.000000,0
131,0,524.000000,1.000000,3,524.000000,0
131,1,710.000000,1.500000,3,660.000000,0
131,2,46.000000,2.000000,3,946.000000,0
132,4,836.000000,1.500000,2,636.000000,0
132,0,528.000000,1.000000,3,528.000000,0
